diameter_km,lon,lat,tag
5.2323107961,95.7738201946,-47.744576705,standard
5.07916130803,97.0004715631,-49.166676923,standard
17.5494889107,91.0748860863,-45.2070446417,standard
8.12045056033,90.7572762388,-50.0843797773,standard
13.9459882017,90.7630851489,-50.7117420611,standard
15.9904510004,90.5002319698,-51.1096523986,standard
6.14323649422,91.2408679993,-50.2600993058,standard
6.02268669797,94.101756192,-49.4483041283,standard
11.3670134785,95.3724552624,-50.1991057505,standard
5.45726198749,95.9286583984,-50.2383158932,standard
9.52393454438,97.2167841988,-50.5490925801,standard
7.13135146649,99.0248074475,-51.2882763822,standard
15.730237937,97.648095769,-52.4384405693,standard
11.0595907194,94.8307744016,-52.2511032207,standard
5.82713216406,93.6254255691,-53.6220059891,standard
16.9250479276,90.2969201185,-56.3129835633,standard
9.70333326386,93.0387256555,-56.1372640347,standard
10.7422376375,94.0436670917,-57.1015431007,standard
6.43220746893,96.2931675031,-56.7036327632,standard
13.5186107809,98.9013681093,-55.1628193762,standard
6.00020725884,98.1970377674,-57.8160390351,standard
5.194400172,93.0851969358,-57.635962824,standard
8.77318596184,90.9097601273,-57.5023578932,standard
5.82821561552,100.868085087,59.7600857828,standard
6.24492584939,114.569340776,58.040236142,standard
8.0429928322,114.895408924,57.0854745074,standard
5.9157371366,116.250829459,57.8612183355,standard
7.86967874358,117.158705477,57.7674471035,standard
6.25371118271,116.711160961,57.2197378623,standard
5.79047090809,118.5865856,59.0418833925,standard
10.3884355855,120.700700648,57.2985909437,standard
8.71393672892,120.32561572,56.2394022554,standard
6.62186951047,121.764151665,57.0620316994,standard
9.91504472114,120.540863321,55.4274286331,standard
11.5115270291,120.973489687,53.1023283132,standard
14.2442334196,121.653331118,52.8551132471,standard
5.26155897889,118.90412909,55.6959553428,standard
5.34376963392,121.568084544,56.2095659543,standard
5.19482505641,118.188057864,56.3694032815,standard
5.21799712164,118.774128064,55.0139827467,standard
5.25256892786,117.670184924,54.7369313795,standard
6.56772553231,118.06871266,54.7816858312,standard
7.51819029295,117.56575787,53.1001971489,standard
6.00989869125,116.668537674,55.9857936962,standard
7.13139619759,116.536405483,55.4785765778,standard
5.73444480539,116.783620549,55.1269344579,standard
11.1856670852,116.421322608,53.8354488541,standard
5.24341814109,114.97639317,52.5226516065,standard
5.54888235326,116.977556506,54.5792252167,standard
18.9885277483,113.243756543,55.3869365102,standard
13.948594669,113.118017845,52.9467533147,standard
10.0378774056,109.944714109,54.7070950785,standard
7.49733378805,107.56633468,55.7769395886,standard
12.3735489231,99.7939782486,50.2423057383,standard
5.82299431525,100.620870021,49.3131180761,standard
5.69286210779,99.314466267,49.0701653387,standard
5.94136495799,98.8136426417,49.694596497,standard
7.45839128057,101.967765899,50.868868061,standard
5.60958475926,100.505787146,52.196583459,standard
7.34471132621,103.86876451,48.6460636305,standard
7.98181140315,103.604500129,48.1452400052,standard
8.73814945549,107.811418582,49.3791841713,standard
7.21388462647,107.907320978,48.6886869178,standard
6.03952875756,107.340431257,48.5522923985,standard
6.3018353898,111.624071627,50.2401745739,standard
7.25819981839,111.926696966,50.1719773143,standard
8.19160770415,112.19735484,49.430332116,standard
6.1026302948,110.997509304,48.4755704815,standard
13.1313888808,115.29393666,49.6093499225,standard
5.44809534497,115.984433913,49.5731201283,standard
7.20414807428,116.606733907,50.6301776523,standard
7.76449303387,115.575250356,51.90887627,standard
8.03826639213,116.284928088,51.8193673668,standard
5.39330395072,117.766087321,51.0031314158,standard
14.2595253188,117.135262669,50.5513245709,standard
12.2719938742,117.11608219,49.9183687551,standard
15.4471873234,117.099032875,49.5432838273,standard
5.81240070047,114.6396692,49.7713184141,standard
12.6102098942,119.731020863,49.4282009517,standard
6.25731505484,120.540863321,48.467045824,standard
14.0402056027,121.222835917,48.895409861,standard
5.03198352614,118.865768132,52.3521584575,standard
13.5166403408,121.344312286,47.1968718638,standard
5.50778228904,120.672995511,47.5293335044,standard
6.44321611421,118.10281129,47.7893355566,standard
7.4888390088,116.344600691,47.6167112432,standard
17.9950811258,115.867219873,47.9640910344,standard
5.19114914538,115.119181182,48.0450752802,standard
15.1016181901,113.047689421,47.1670355627,standard
5.65382678229,109.15405213,47.7872043923,standard
5.25360907614,106.622228867,47.0327722078,standard
6.49733115559,100.554803926,47.5932684353,standard
5.21013144155,100.759395705,47.5250711756,standard
7.98359936752,101.631041929,47.7040889821,standard
5.20597705798,99.7215186603,47.0135917286,standard
5.28705440183,99.0587265434,48.5096691113,standard
12.8628839417,99.473497676,45.5210936981,standard
6.49363549721,100.563086968,45.4349114942,standard
6.74881720946,99.3873154721,44.9342339287,standard
6.96488796699,101.621896901,44.26529587,standard
9.98807725224,101.864027855,44.3945691758,standard
5.83468515443,101.80862501,45.9786801616,standard
5.14957008337,101.599325372,45.5313534842,standard
7.00441656855,103.1670207,44.2919713141,standard
7.04533484075,104.983002853,45.0183641754,standard
19.2278270247,106.597893197,45.4472232376,standard
9.50309655776,105.924851224,43.9821257715,standard
5.60370225636,106.443996405,44.0518923175,standard
7.41759843752,107.416624134,43.2577848674,standard
11.1622064595,110.344767109,46.1120573819,standard
11.2482402788,111.342018325,45.7160296354,standard
11.3008074794,109.938479576,45.4164438791,standard
8.68194081499,110.99728951,44.4068809193,standard
16.0638745525,110.81876923,43.2393172523,standard
12.4256997144,111.387161385,44.2447762977,standard
13.2552439911,109.716868195,43.8200211499,standard
6.57164604005,108.72577285,43.1695507063,standard
5.19249458963,109.737387767,42.9602510683,standard
8.30796754938,111.616980595,46.7338004242,standard
9.43463814388,112.386464558,43.0484852294,standard
12.4171635307,112.714777716,44.0621521037,standard
16.686263707,112.733245331,45.0081043892,standard
10.3172600385,112.759920775,42.6914446705,standard
18.3782207401,113.627898686,43.1736546208,standard
17.0066355807,114.565643142,43.2085378938,standard
15.6927091659,113.580703669,46.0402388786,standard
6.7938736597,114.575902928,46.3439285495,standard
14.4902916253,111.050640398,42.6893927132,standard
17.0892985184,116.83100393,43.1818624497,standard
16.9267292006,116.886406775,43.6702282718,standard
5.20225373998,115.343334934,43.2865122687,standard
5.2649725111,116.332378322,43.0484852294,standard
9.39697582612,117.824151232,42.9356275815,standard
12.7599658815,118.796778962,42.9356275815,standard
5.69582692785,119.123040162,44.9034545702,standard
16.3233437762,119.611405984,44.2078410674,standard
17.829617173,120.590189585,43.2967720549,standard
6.67006239999,118.146308518,42.6278339962,standard
7.51811323615,121.529985999,39.6340283898,standard
9.36235443018,119.517015951,41.3863998688,standard
12.8027756675,119.978706329,41.9876233387,standard
12.7620141006,119.732471461,40.7769685699,standard
5.89024032365,118.965039455,40.2742390472,standard
5.19461426933,118.267373995,39.7612497384,standard
8.6674202001,117.253707121,42.4718852463,standard
6.86966887645,117.598435936,41.6552062666,standard
5.7456700648,116.997212466,41.5772318917,standard
5.3939158276,116.806380443,42.4883009042,standard
14.3080875902,115.876843816,41.6469984377,standard
12.7876736755,115.166866612,40.7154098528,standard
9.42190364061,115.39873778,40.446603455,standard
6.09126612949,113.716132847,41.0950219414,standard
17.6204589878,111.042432569,41.9835194243,standard
14.7920452603,110.925471007,41.2263472044,standard
10.4461346994,111.81396849,40.0423678796,standard
7.03656724669,109.69840058,39.6278725181,standard
5.48678096638,111.974021154,39.1949095414,standard
6.09384627432,108.766811995,42.5211322199,standard
11.2414483902,108.475434068,42.2974688813,standard
8.63289264172,106.218281109,40.6989941949,standard
6.00879545641,106.753841947,39.8310162844,standard
5.82379540112,107.394052605,42.5375478778,standard
6.18541233193,105.43032953,40.6394874351,standard
5.80281715819,105.963838411,39.6565999194,standard
5.17868208016,106.0171893,39.9664454619,standard
5.18580217813,104.980950896,40.9165016619,standard
7.68895747663,103.911881176,40.7502931258,standard
7.03317069906,102.264159516,40.6005002476,standard
18.2437118643,101.285375915,42.3467158549,standard
11.5910095359,100.626404966,40.3008735101,standard
17.487556071,101.610631949,40.2328152613,standard
10.1465902272,99.2146325746,39.9256806001,standard
8.09960282635,99.0069676616,37.8420511369,standard
9.2283532127,102.687348347,39.042668449,standard
10.6486124434,104.109591238,38.8297682861,standard
5.66734048194,103.245775003,39.0967660314,standard
5.57421674255,102.085294607,37.7321108889,standard
11.2619474448,105.13570022,38.2416752132,standard
8.79153324816,105.919242623,39.0356881158,standard
5.18876560116,107.56660126,38.8070822032,standard
14.3244746119,105.847694207,37.1178415664,standard
6.74087382059,108.344908413,37.4459172273,standard
9.71346302439,107.453170846,36.5855911592,standard
5.13145829213,106.940116355,37.5069951429,standard
18.0210153916,110.412832127,37.4145057278,standard
5.67771744337,110.756613537,36.4582000781,standard
6.38020819568,111.758291353,38.8873560351,standard
13.1646257959,113.752921568,36.3988672458,standard
8.86603357038,114.988440546,37.2382523143,standard
5.05829356324,111.405784526,36.4041024957,standard
